cn_identifier,CanonicalName,DistinguishedName,ObjectClass
ForeignSecurityPrincipals/S-1-5-17,h4n0sh1.org/ForeignSecurityPrincipals/S-1-5-17,"CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=h4n0sh1,DC=org",foreignSecurityPrincipal
ForeignSecurityPrincipals/S-1-5-4,h4n0sh1.org/ForeignSecurityPrincipals/S-1-5-4,"CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=h4n0sh1,DC=org",foreignSecurityPrincipal
ForeignSecurityPrincipals/S-1-5-9,h4n0sh1.org/ForeignSecurityPrincipals/S-1-5-9,"CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=h4n0sh1,DC=org",foreignSecurityPrincipal
Infrastructure,h4n0sh1.org/Infrastructure,"CN=Infrastructure,DC=h4n0sh1,DC=org",infrastructureUpdate
Keys,h4n0sh1.org/Keys,"CN=Keys,DC=h4n0sh1,DC=org",container
LostAndFound,h4n0sh1.org/LostAndFound,"CN=LostAndFound,DC=h4n0sh1,DC=org",lostAndFound
Managed Service Accounts,h4n0sh1.org/Managed Service Accounts,"CN=Managed Service Accounts,DC=h4n0sh1,DC=org",container
NTDS Quotas,h4n0sh1.org/NTDS Quotas,"CN=NTDS Quotas,DC=h4n0sh1,DC=org",msDS-QuotaContainer
Program Data,h4n0sh1.org/Program Data,"CN=Program Data,DC=h4n0sh1,DC=org",container
Program Data/Microsoft,h4n0sh1.org/Program Data/Microsoft,"CN=Microsoft,CN=Program Data,DC=h4n0sh1,DC=org",container
System,h4n0sh1.org/System,"CN=System,DC=h4n0sh1,DC=org",container
System/AdminSDHolder,h4n0sh1.org/System/AdminSDHolder,"CN=AdminSDHolder,CN=System,DC=h4n0sh1,DC=org",container
System/ComPartitions,h4n0sh1.org/System/ComPartitions,"CN=ComPartitions,CN=System,DC=h4n0sh1,DC=org",container
System/ComPartitionSets,h4n0sh1.org/System/ComPartitionSets,"CN=ComPartitionSets,CN=System,DC=h4n0sh1,DC=org",container
System/Default Domain Policy,h4n0sh1.org/System/Default Domain Policy,"CN=Default Domain Policy,CN=System,DC=h4n0sh1,DC=org",domainPolicy
System/Default Domain Policy/AppCategories,h4n0sh1.org/System/Default Domain Policy/AppCategories,"CN=AppCategories,CN=Default Domain Policy,CN=System,DC=h4n0sh1,DC=org",classStore
System/Dfs-Configuration,h4n0sh1.org/System/Dfs-Configuration,"CN=Dfs-Configuration,CN=System,DC=h4n0sh1,DC=org",dfsConfiguration
System/DFSR-GlobalSettings,h4n0sh1.org/System/DFSR-GlobalSettings,"CN=DFSR-GlobalSettings,CN=System,DC=h4n0sh1,DC=org",msDFSR-GlobalSettings
System/DFSR-GlobalSettings/Domain System Volume,h4n0sh1.org/System/DFSR-GlobalSettings/Domain System Volume,"CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=h4n0sh1,DC=org",msDFSR-ReplicationGroup
System/DFSR-GlobalSettings/Domain System Volume/Content,h4n0sh1.org/System/DFSR-GlobalSettings/Domain System Volume/Content,"CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=h4n0sh1,DC=org",msDFSR-Content
System/DFSR-GlobalSettings/Domain System Volume/Content/SYSVOL Share,h4n0sh1.org/System/DFSR-GlobalSettings/Domain System Volume/Content/SYSVOL Share,"CN=SYSVOL Share,CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=h4n0sh1,DC=org",msDFSR-ContentSet
System/DFSR-GlobalSettings/Domain System Volume/Topology,h4n0sh1.org/System/DFSR-GlobalSettings/Domain System Volume/Topology,"CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=h4n0sh1,DC=org",msDFSR-Topology
System/DFSR-GlobalSettings/Domain System Volume/Topology/WIN-QPHRJUMHOTP,h4n0sh1.org/System/DFSR-GlobalSettings/Domain System Volume/Topology/WIN-QPHRJUMHOTP,"CN=WIN-QPHRJUMHOTP,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=h4n0sh1,DC=org",msDFSR-Member
System/DomainUpdates,h4n0sh1.org/System/DomainUpdates,"CN=DomainUpdates,CN=System,DC=h4n0sh1,DC=org",container
System/DomainUpdates/ActiveDirectoryUpdate,h4n0sh1.org/System/DomainUpdates/ActiveDirectoryUpdate,"CN=ActiveDirectoryUpdate,CN=DomainUpdates,CN=System,DC=h4n0sh1,DC=org",container
System/DomainUpdates/Operations,h4n0sh1.org/System/DomainUpdates/Operations,"CN=Operations,CN=DomainUpdates,CN=System,DC=h4n0sh1,DC=org",container
System/DomainUpdates/Operations/0b7fb422-3609-4587-8c2e-94b10f67d1bf,h4n0sh1.org/System/DomainUpdates/Operations/0b7fb422-3609-4587-8c2e-94b10f67d1bf,"CN=0b7fb422-3609-4587-8c2e-94b10f67d1bf,CN=Operations,CN=DomainUpdates,CN=System,DC=h4n0sh1,DC=org",container
System/DomainUpdates/Operations/0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e,h4n0sh1.org/System/DomainUpdates/Operations/0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e,"CN=0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e,CN=Operations,CN=DomainUpdates,CN=System,DC=h4n0sh1,DC=org",container
System/DomainUpdates/Operations/10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,h4n0sh1.org/System/DomainUpdates/Operations/10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,"CN=10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,CN=Operations,CN=DomainUpdates,CN=System,DC=h4n0sh1,DC=org",container
